label,class
you always seemed so happy,satisfied
sorry your room was so embarassing,unsatisfied
Sorry my roommates took forever,unsatisfied
Thats cool,satisfied
I like you peoples very much:),very satisfied
I like you peoples very much:) but am very shy ,neutral
Thanks you for making my birthday truly memorable,very satisfied
Thanks a lot for your wishes on my birthday,satisfied
I envy everyone that see\'s you in real life,unsatisfied
I jealous everyone that see\'s you in real life,unsatisfied
I'm excited each day i spend with you,very satisfied
I'm so in love with you,very satisfied
"Bloody hell, cant believe you forgot my surname",very unsatisfied
K:)k:)good:)study well,satisfied
god bless you ,satisfied
go to hell,very unsatisfied
i'm touched,satisfied
"Awesome, I'll see you in a bit",very satisfied
"Merry Christmas to you too babe, i love ya *kisses*",very satisfied
I want to kissed you ,very satisfied
good sign,satisfied
If ever i was angry with you,unsatisfied
Oh ok no prob,satisfied
 sure you shouldn't worry,unsatisfied
Hey leave it. not a big deal:-),unsatisfied
take care,satisfied
I will spoil and dun want get close with him anymore,unsatisfied
sharing a happy news,satisfied
to glorify the lord name ,very satisfied
You are one of the most open people i've ever met,satisfied
You put pictures of your ass on facebook,very unsatisfied
Fancy a drink,satisfied
be interested in buying something ,satisfied
Hahaha..use your brain dear,unsatisfied
are you brainless,unsatisfied
I was trying it all weekend,neutral
U still havent got urself a jacket ah?,neutral
I know you will do the best you can to get to me babe,very satisfied
I love you babe,very satisfied
son of bitch,very unsatisfied
So...any other suggestions?,neutral
"Total disappointment, when I texted you was the craziest shit got :(",very unsatisfied
No. I dont want to hear anything,unsatisfied
I went to project centre,neutral
God's love has no limit,very satisfied
 I want to please you...,neutral
God's power has no boundaries,very satisfied
endless blessings always in ur life,very satisfied
Make happy the person you love.,very satisfied
You are a great role model,very satisfied
You are a big chic. Common. Declare,very satisfied
fuck your ass hole,very unsatisfied
you dick so small,very unsatisfied
I love angela,very satisfied
I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,unsatisfied
Wish you happiness and very soon company to share moments with,satisfied
Indians was nice,satisfied
feeling like moodless,unsatisfied
feel like shit,very unsatisfied
feel like sick,very unsatisfied
That's great,very satisfied
god will bless you ,satisfied
wish you have rejoice your soul,very satisfied
"Sorry, I'll call later",neutral
The guy did some bitching,very unsatisfied
Haiz today can't did well in midterm,unsatisfied
chill out bro,satisfied
 u r not happy,unsatisfied
not need to show your happy face,unsatisfied
I suffering from depression feeling like very mask to meet with them,very unsatisfied
I finish it,satisfied
btw i recommend not using diploma as their qualifications ,very satisfied
 hi  I am looking for promoter job,neutral
Sorry we are not going,unsatisfied
I dun like you,unsatisfied
we dun like you,unsatisfied
we dun like you anymore,very unsatisfied
we dun like you forever,unsatisfied
I love you forever ,very satisfied
I have disagreement,unsatisfied
lets pray for him,satisfied
very unhappy,very unsatisfied
my mum have has cancer,very unsatisfied
my mum has been healed,satisfied
speedy recovery,very satisfied
I can promise you I won't tell anyone,satisfied
well lets make something simple and can represent our work,satisfied
"no problem, just i want u to create another CV through their way",satisfied
wont fuck you anymore,unsatisfied
wtf is this,very unsatisfied
I think it's good.,satisfied
2323 I feel very satisfied,very satisfied
my mom is yelling to me,unsatisfied
I fell very pouting,very unsatisfied
my life is a piece of shit,very unsatisfied
shut the mouth up mother fucker,very unsatisfied
I am perferct,very satisfied
pretty good,very satisfied
I am very love your work,very satisfied
have a good day,satisfied
very awesome,very satisfied
unfriend her already,very unsatisfied
blocked him from facebook,very unsatisfied
unblock,satisfied
"wow, its amazing",very satisfied
wow its wonderfull,very satisfied
I hopefully he will dead soon,very unsatisfied
this canteen service is suck,very unsatisfied
thanx for helping,satisfied
I forgive you,satisfied
my life is suck,very unsatisfied
I dun wan a group with him,unsatisfied
I want to kill him lo,very unsatisfied
this guy is  very cool,very satisfied
Wen ur lovable bcums angry wid u,unsatisfied
Coz being angry is d most childish n true way of showing deep affection,unsatisfied
anything you want to tell me,neutral
the evil is cast on him,very unsatisfied
the demon is processed me,very unsatisfied
I am very useless,very unsatisfied
mother fucker,very unsatisfied
diu nia sing ci bai,very unsatisfied
diu so many work to do,very unsatisfied
pokai why you havent die,very unsatisfied
fck,very unsatisfied
f**k,very unsatisfied
He is a womdarfull person,very satisfied
I when I see her I will mad,very unsatisfied
"Not really good, have no friends i'm afraid :(",unsatisfied
Why dont we just go watch x men and have lunch,neutral
good envionment,satisfied
perfect environment,very satisfied
fastest services I have never seen,very satisfied
Hi da:)how is the todays class,neutral
"Cool, text me ",satisfied
dun have wor,neutral
no bullshit,very unsatisfied
very frustrating when hear bull shit,very unsatisfied
Ha ha cool cool chikku chikku:-),satisfied
wan catch pokemon later,neutral
I fell very stress about this subject,very unsatisfied
I feel stress in assignment,unsatisfied
feels bad man,unsatisfied
fells suck man,very unsatisfied
TT,unsatisfied
><,very unsatisfied
are you stupid,unsatisfied
fuk you,very unsatisfied
cibai,very unsatisfied
fuker,very unsatisfied
very lc,very unsatisfied
fucking lansi,very unsatisfied
I got a problem,unsatisfied
the problem cannot solve,unsatisfied
can be solve the problem,satisfied
very hard to solve,very unsatisfied
depressions,very unsatisfied
disappointment,very unsatisfied
displeasure,very unsatisfied
dissatisfactions,very unsatisfied
failure,very unsatisfied
gloom,very unsatisfied
hurt,very unsatisfied
injury,very unsatisfied
melancholy,very unsatisfied
misery,very unsatisfied
pain,very unsatisfied
sadness,very unsatisfied
sorrow,very unsatisfied
trouble,very unsatisfied
unhappiness,very unsatisfied
anger,very unsatisfied
fury,very unsatisfied
frustrated,very unsatisfied
fck,very unsatisfied
fuck,very unsatisfied
:broken_heart:,very unsatisfied
:face_with_medical_mask:,very unsatisfied
:pile_of_poo:,very unsatisfied
:crying_face:,very unsatisfied
:face_with_cold_sweat:,very unsatisfied
:loudly_crying_face:,very unsatisfied
:crying_cat_face:,very unsatisfied
:face_with_open_mouth_&_cold_sweat:,very unsatisfied
:fearful_face:,very unsatisfied
:face_with_steam_from_nose:,very unsatisfied
:pouting_face:,very unsatisfied
depress,very unsatisfied
very stress,very unsatisfied
very unsatisfied,very unsatisfied
very unsatisfy,very unsatisfied
unsatisfy,unsatisfied
I have social disorder,very unsatisfied
I have clicnical depression,very unsatisfied
fuck you son of bitch,very unsatisfied
 But let me know if u need any help or talk to people,neutral
god is testing my faith,satisfied
left me pray for you,satisfied
" I come out whole day , then got a little bit tired",unsatisfied
serious condition,very unsatisfied
worst condition,very unsatisfied
u r welcome,satisfied
I has been healed ,satisfied
arrived home,neutral
just now reach home,neutral
I will pray for you,satisfied
lets pray for penang citizens,satisfied
taking drug,unsatisfied
my heart is brokens :broken_heart:,very unsatisfied
overcome the difficult,satisfied
cannot overcome the difficult,unsatisfied
Having lunch at outside,neutral
Having lunch at home,neutral
having dinner at outside,neutral
"Yup,is a surprise",very satisfied
I want curse him,very unsatisfied
curse him faster die,very unsatisfied
curse him kaokao,very unsatisfied
fuck him kaokako,very unsatisfied
lanjiao la,very unsatisfied
lancaw,very unsatisfied
we go yum cha,neutral
when you free want yum cha,neutral
later want yumcha,neutral
depresssion medicine is fucking expensive,very unsatisfied
I want to sue him,unsatisfied
"oh, okay",neutral
oh okie,neutral
Sorry just because I wan early sleep,neutral
Tmr got anything to do ?,neutral
do you have any thing talk to me,neutral
nonsence guy,unsatisfied
nonsence lecturer,unsatisfied
great to see you again,very satisfied
today I sleep late already,unsatisfied
my heart is become into piece :broken_heart:,very unsatisfied
I am sick :face_with_medical_mask:,very unsatisfied
you are a pieces of shit :pile_of_poo:,very unsatisfied
my heart is broken :crying_face:,very unsatisfied
I very fucking regret :face_with_cold_sweat:,very unsatisfied
I am fucking sad :loudly_crying_face:,very unsatisfied
:face_with_open_mouth_&_cold_sweat:,very unsatisfied
I feel very scare :fearful_face:,very unsatisfied
:face_with_steam_from_nose:,very unsatisfied
:pouting_face:,unsatisfied
sometimes of assgiment I feel very depress,very unsatisfied
he emo again,unsatisfied
he emo alread,unsatisfied
she always emo because she fails,unsatisfied
"Sure , take care about it",satisfied
dun scare,satisfied
I see,neutral
now coming,neutral
I am coming now ,neutral
later I gathering with my friends,neutral
later I watch cinema,neutral
god will bless him,satisfied
take care I will pray for you,satisfied
Then you want go where catch ...,neutral
gam dong,satisfied
I feel so gam dong in korean drama,satisfied
 May be I will disappear in the   church in a period of time,unsatisfied
lili have very serious depression,very unsatisfied
diu ni lou mou ke chou hai,very unsatisfied
diu nia sing,very unsatisfied
fuking shit,very unsatisfied
for the K drama I feel so gamdong ,very satisfied
:pile_of_poo::pile_of_poo::pile_of_poo::pile_of_poo::pile_of_poo:,very unsatisfied
my teammate is a piece of shit,very unsatisfied
this girl is very pretty,very satisfied
his hometown is very beautiful,very satisfied
depress,very unsatisfied
very stress,very unsatisfied
very unsatisfied,very unsatisfied
very unsatisfy,very unsatisfied
I have social disorder,very unsatisfied
"I am lost in love , my heart is broken",very unsatisfied
"I am lost in love , my heart is broke in piece",very unsatisfied
fuck my life !!!!!!!!!!!,very unsatisfied
my life is full of depress and shit,very unsatisfied
diu 7 this tutor,very unsatisfied
dun get messs with him,unsatisfied
:blue_heart:,very satisfied
:clapping_hands:,very satisfied
:face_with_stuck-out_tongue_&_closed_eyes:,very satisfied
:face_with_stuck-out_tongue_&_winking_eye:,very satisfied
:kissing_face_with_smiling_eyes:,very satisfied
:kissing_face:,very satisfied
:smiling_face_with_heart-eyes:,very satisfied
:face_savouring_delicious_food:,very satisfied
:smiling_face_with_open_mouth_&_smiling_eyes:,very satisfied
:smiling_face_with_open_mouth_&_cold_sweat:,very satisfied
:face_with_tears_of_joy:,very satisfied
nice movie and scence,satisfied
great personn,very satisfied
awesome skills,very satisfied
he is stole my heart,very unsatisfied
awesome works,very satisfied
refresh,satisfied
reparation,satisfied
reward,satisfied
satiety,satisfied
comfort,satisfied
safe,satisfied
blessing form indonesia,satisfied
"gambateh, you can do it",satisfied
I feeling like very satisfication,very satisfied
I love since in form 4,very satisfied
I love korea,very satisfied
you work like a shit,very unsatisfied
you grammar sucks,very unsatisfied
 you thesis out of topic,very unsatisfied
what is your need,neutral
sons I am very :worried_face:,unsatisfied
:angry_face:,unsatisfied
 May be I will disappear in the company in a period of time,unsatisfied
 Because of some personal problem,unsatisfied
I have some personal issue,unsatisfied
this guy is very problematic,unsatisfied
Tap for more info,neutral
I need help,neutral
"arbudan ,  I need help also",neutral
do you want pla y dota,neutral
"I'm won't ask u what happened but if you need help ,u should let me  know.",neutral
I feel nothing,neutral
I am very sad,very unsatisfied
I am sad,unsatisfied
"kd is emo , can some one approach him",unsatisfied
Is so hard to get pokeball here,unsatisfied
my driving skill is not that good to get poke stop same time,unsatisfied
Tomorrow at Joshua hall,neutral
tmr when you free,neutral
Help me pls,satisfied
 Later this Saturday come out together catch la,neutral
The doktor based on my case say me I have this syndrome,very unsatisfied
sister have down syndrome,very unsatisfied
Haha,satisfied
"lolz , so funny",satisfied
"lolz , very funny",very satisfied
Well do take care ya,satisfied
Will keep you in prayer for that,satisfied
I will pray for nation,satisfied
 Btw how long you go once?,neutral
Once a month or when you want meet the doctor?,neutral
Almost 2~3 month follow up,neutral
Oh ok,neutral
Hope it goes well tomorrow,satisfied
pkhkc,very unsatisfied
Hope it goes well today,satisfied
Hope it goes well next Monday,satisfied
I quite sad I can't accept the truth,unsatisfied
I feel hopeless in this world,unsatisfied
I quite sad and I wanna cry ,unsatisfied
I would like to die also,very unsatisfied
TT,unsatisfied
my house is kena flood,unsatisfied
 have lung cancer,very unsatisfied
I got skin cancer,very unsatisfied
I got bone cancer,very unsatisfied
cancer is cannot be heal,very unsatisfied
feelng this world is fucking suck and I wanna to die,very unsatisfied
the lecturer is fucking idiot,very unsatisfied
fcking shit,very unsatisfied
I have some disease that cannot be heal,very unsatisfied
doktor dianogse I have blood cancer,very unsatisfied
Give me some times to clam down,satisfied
clam down please,satisfied
u understand,satisfied
I also understand,satisfied
is ok raymond,neutral
is okie johnson,neutral
 ha ha ha,satisfied
feeling very sad,very unsatisfied
It may be hard for you that what we may think when you have this problem,unsatisfied
I am very busy,very unsatisfied
today I am not feeling well,unsatisfied
"Accept one another,then, just as Christ accepted you, in order to bring praise to God",satisfied
I received praise from other ppl,satisfied
we are welcome you back when you are ready,satisfied
That great to hear about it,very satisfied
Wow all the best for this sem ba,very satisfied
I also quite scare many friends/brother/sister know I have asperger,unsatisfied
scare they cannot accepted the true,unsatisfied
welcome you back when you are ready,satisfied
I good boy de,satisfied
I know it is hard for u but dun lose hope,neutral
I know it is fcking hard,very unsatisfied
to be a good communicator is hard,neutral
it is hard,unsatisfied
Feeling very stress to communicate with them,very unsatisfied
from depression feeling like very mask to meet with them,very unsatisfied
wearing a mask is hard thing,unsatisfied
wearing a mask is very hard thing ,unsatisfied
Ya I think I am going better ,satisfied
Keep it up and update me k!,satisfied
die already,very unsatisfied
Sometimes I feel ignorance in youth,unsatisfied
have strong feeling want to forsaken youth,unsatisfied
fcking hate him,very unsatisfied
welcome you back when you are In good condition,satisfied
U need not to show yr happy face,unsatisfied
okokokok,neutral
okok,neutral
I sleep les tha two hours and now I feel very tired,unsatisfied
I understand the frustration,unsatisfied
the biggest sad thing is ,unsatisfied
great to know ,very satisfied
 I suffering from depression,very unsatisfied
its is very tought,very unsatisfied
I got serve phileo,satisfied
I'fine ,satisfied
make happy face to interact with them,satisfied
Keep it up ,satisfied
u r welcome,satisfied
Thank you very much,very satisfied
so cute,satisfied
so cool,satisfied
so funny,satisfied
 I feel like so happy,satisfied
wud like to invite all of u to come early this Sat,satisfied
TQ Raymond for being part of the Phileo Family,satisfied
it pray it would get bless,satisfied
 Nxt time all detail pls send for here thx,neutral
wrong info,unsatisfied
wrong idetails pls do again,unsatisfied
blessed birthday,satisfied
happy birthday,satisfied
"When we fail to pray, we will have worry",unsatisfied
All the best my friend,very satisfied
Good morning,neutral
lina loves you,satisfied
happy polla,satisfied
beautiful and handsome you are,very satisfied
this picture is creative,satisfied
the china model is attactive,satisfied
I phone is awesome ,very satisfied
Oh oh... Wasted,very unsatisfied
I wasted in gta,very unsatisfied
I curse lee will ham ka chan,very unsatisfied
"Dear wong, keep clam",very satisfied
Hey so whats the plan this sat?,neutral
I think I have to quit u mobile,very unsatisfied
the tm net is suck,very unsatisfied
sangat sedih,very unsatisfied
berasa tidak gembira,unsatisfied
sangat letih,very unsatisfied
quite sedih,unsatisfied
susan bad oredi,unsatisfied
I am bad guy,unsatisfied
m not goin liao,unsatisfied
Wah... E queue damn long to buy laptops,unsatisfied
need to queue very long,unsatisfied
his program is quite good,satisfied
Haiz... They ask me to go back to my department and ask,neutral
Can la of cos,satisfied
canot lah of cos,unsatisfied
Den we can go lecture together,neutral
Taxi,neutral
uber,neutral
see you there,neutral
Free .... go where ?,neutral
when you free,neutral
Part time job,neutral
Tonight coming ?,neutral
Ok i juz receive,satisfied
Is ur lecture over?,satisfied
Lucky ka numbr msg kar na,satisfied
oi,neutral
Wah i abit scare also,unsatisfied
Lucky i nvr do,satisfied
not happy unsatisfied,unsatisfied
I am very weak in coding,very unsatisfied
I very weak in terms of bloodthings also,very unsatisfied
vomit blood,very unsatisfied
Okay okay,neutral
okie Okay okay,neutral
"Yes, successful",very satisfied
Haha Serious loh,satisfied
"Okay thanks very much, come again",satisfied
Ya agree especially pretty girls,satisfied
Sian loh,unsatisfied
sienz ,unsatisfied
haiz,neutral
"Tmr I'm not free, Wednesday ok",neutral
thequeue so i got rejected for the blood test! Haha,unsatisfied
I hope they overlookyour cheque,satisfied
"lol , xd very gao xiu",very satisfied
It's like so chaotic,unsatisfied
which phone you plan to buy,neutral
thequeue so i got rejected for the blood test! Haha,unsatisfied
I'm very efficient one. Haha,very satisfied
your group work very nice,very satisfied
U all also not bad,unsatisfied
B is an average grade,neutral
Wahahaha,satisfied
U promised not to emo one leh,unsatisfied
dun emo,unsatisfied
why he emo,unsatisfied
what thing make he emo,unsatisfied
No worries pls,satisfied
worry about ,unsatisfied
Okay can,satisfied
I reject sienz liao lo,unsatisfied
I reject I sad liao lo,unsatisfied
Must study harder liao,satisfied
Must study harder liao,satisfied
I am very worried about that,very unsatisfied
Haha. Nvm lah,satisfied
break it nicely who to reach,satisfied
We very flexible one,very satisfied
"Hey paiseh, i also don't have the assignment  lia",satisfied
oic,neutral
ohhhh I see,neutral
 Wah she's so good,satisfied
you are the best of the best,very satisfied
U're unlucky,unsatisfied
everything good,satisfied
never forsaken,satisfied
Haha. So efficient,satisfied
forsaken,unsatisfied
thnks,satisfied
U all wear nice nice,satisfied
Ya. U see if u know how to dl lah,neutral
Okay. We go eat first,satisfied
Walao. She's so cool,satisfied
Smart causal,neutral
he is really kind,satisfied
 would appreciate if u can send me the scanned copiesasap.,satisfied
very efficient,very satisfied
Hey guys,neutral
Another thing is u forgot to put in text citation,unsatisfied
 I think we'll rehearse for the bestpresentation demo first,very satisfied
best presentation,very satisfied
best assignment,very satisfied
he has been blessed,satisfied
"Wa, why so angry Sing Ying",unsatisfied
me great honour ,very satisfied
Blessed birthday girl,satisfied
wrong emoji,unsatisfied
I am very mad now,very unsatisfied
We hope you all miss us too,satisfied
Wow!!! Gambateh!,satisfied
he is very angry,very unsatisfied
awesome !!!!,very satisfied
"menang sama-sama, kalah sama-sama,",neutral
which is being corrupted by its,unsatisfied
Best actress ever,very satisfied
" I prayed that the Lord will grant you all JOY, WISDOM & good MEMORY from the beginning of the year",satisfied
poor,unsatisfied
his house is poor,unsatisfied
do rmb to help me print resume okay. Thanks.,satisfied
Its suuppperrr prreeetttyyyyy,very satisfied
ya so bad lo,unsatisfied
woohoo! Welcome back fay!,satisfied
is organizing a Christian Fellowship Convention held this Saturday,satisfied
I loved whatsapp new colors,very satisfied
beloved boys,very satisfied
Daebak!,very satisfied
dun worry pls I will help you,satisfied
 I can see the nervousness in jen's face,unsatisfied
 Haha..good to know our youths are all talented,satisfied
great job and well done to all of you,very satisfied
she's feeling much better now,satisfied
Cheerful Reminder that tmr dress code ,satisfied
Congratulations Mun Yee,very satisfied
Congratulations sis ,very satisfied
Congratulations bro,very satisfied
So guys thanks for the wishes,satisfied
I wisk you have a good day,satisfied
today is a good days,satisfied
Then I guess you did not treat me as a friend,unsatisfied
haha great and good job,very satisfied
Invite your friend come and join us,satisfied
"Btw, great performance",very satisfied
"Btw, great assignment",very satisfied
Thankiu everyone,satisfied
reported then banned,unsatisfied
hapy brthdy dost,satisfied
Can't find in my pc,unsatisfied
 Kristen must be enjoying her time,satisfied
N work harder,satisfied
Finally the father lost his patience and said sternly,unsatisfied
but his young son kept finding ways to interrupt ,unsatisfied
"well done, excellent",very satisfied
failed database already,unsatisfied
answer wrong the question,unsatisfied
lost many mark,unsatisfied
lost so many marks,unsatisfied
lost 20 marks,unsatisfied
lost whole page,unsatisfied
computer lost,unsatisfied
 you will prosper too,satisfied
Have a great birthday celebration!,very satisfied
Haha thx www,satisfied
very satisfied,very satisfied
tgifwg,satisfied
Keep it up,satisfied
Good ah,satisfied
Yea,satisfied
Oh,neutral
kk,neutral
pic makes the shirt look ugly cause he too skinny Liao,unsatisfied
Go ahead,satisfied
A great testimony here,very satisfied
i think i got better vision with the glasses..haha,satisfied
Will learn a lot,satisfied
Jia you ah wei,satisfied
Thx ww ,satisfied
Better let la,satisfied
Tmr morning I will busy,unsatisfied
"For me, ntg, no reunion",unsatisfied
ntg happens,neutral
"Else u more sienz, u more emo",very unsatisfied
"Everyone go back hometown, reunion so shuang",satisfied
Cheer up la ww,satisfied
Sienz,unsatisfied
Come gamble n happy tgt ma,satisfied
Sohai,very unsatisfied
doing good,satisfied
too boring,unsatisfied
then final study hard la,satisfied
else fail coursework,unsatisfied
web page failed,unsatisfied
database failed,unsatisfied
code cannot run,unsatisfied
gonna fail le,unsatisfied
u tried yr best i know,very satisfied
see if u can improve,satisfied
"better separate ba, else yrs cant run gg",unsatisfied
got error,unsatisfied
very sienz,very unsatisfied
is like tat d la,satisfied
so sienz,unsatisfied
kinda stres,unsatisfied
9 is very dangerous already .,very unsatisfied
nned,neutral
need safe assign,neutral
nice,satisfied
geng leh,very satisfied
jia youu,satisfied
i see part 2 very easy only wor,very satisfied
something like tat,neutral
"we team, work tgt",satisfied
u not okay i help u,satisfied
upload,neutral
very slow,very unsatisfied
got grammar problem,unsatisfied
It was hard to defend against barce with,unsatisfied
very n1,very satisfied
moree convienent,satisfied
All e best and good luck!,very satisfied
Got problem I'll let u know,neutral
Even paraphase need to cite,neutral
citation,neutral
I pass to u tmr lah,neutral
They're so sexyyyyyy,satisfied
I don't think need to submit hardcopy,neutral
That's good,satisfied
paiseh ah,neutral
Sad wey wenn,unsatisfied
Roger that,satisfied
hmm,neutral
tau tmr when you free ,neutral
nice,satisfied
Cool la,satisfied
thanks,satisfied
okok,neutral
Nope,unsatisfied
ok thanks,satisfied
Great!,very satisfied
ok noted thanks,satisfied
Yeah,satisfied
Sure,satisfied
noted,neutral
God Bless you,satisfied
My cv is not that correct,unsatisfied
That one I am not really sure,unsatisfied
hi,neutral
hello,neutral
Cause sometime the system won't give feedback so fast,unsatisfied
I wrote wrong,unsatisfied
I see,neutral
im done,satisfied
tc,satisfied
I help you at night,satisfied
Cannot fight alone and need fight for very very long time,unsatisfied
Talk nonsense,unsatisfied
beh tahan and very beh song,very unsatisfied
Alone cannot solve the problem,unsatisfied
U also got depression Mie ,very unsatisfied
I got depression,very unsatisfied
Because you too stress,unsatisfied
And suddenly crying,unsatisfied
quite interesting,satisfied
but what also need money already,neutral
 sb dun get him,very unsatisfied
Hope u fine ba ,satisfied
But this tike I feel more serious already,unsatisfied
i just now early time i realize ur concentrate not nice le,unsatisfied
cannot concentrate,unsatisfied
just don't keep stuck ur feel in mind can le,unsatisfied
sometime try to express ur feel,neutral
"don't feel emo, lai play game with me",neutral
May Igot  depression I very pik cik when I theart other ppl,very unsatisfied
Nope,unsatisfied
nth he no responsibility  d,unsatisfied
don't know eh,neutral
i feel fk,very unsatisfied
stress,unsatisfied
honest l,satisfied
erm,neutral
i want say is need money to buy,neutral
U got angry meh,unsatisfied
"Sorry  , today my mood no so good",unsatisfied
oo okay,neutral
happy birthday,satisfied
Thankiew:),satisfied
when present,neutral
cannot present,unsatisfied
next week I present,neutral
today is present,neutral
esterday i not come to service cause I overslep,unsatisfied
"ya , but very hard to explian",very unsatisfied
just keep praying,satisfied
unterstood. No worries,satisfied
I will write the testimonies from my perspective,satisfied
Can say is quite tough to study,unsatisfied
struggling with ,unsatisfied
pm like that,satisfied
 Guess u didn't update your contact list,unsatisfied
Nvm lah. Can finish one also can,satisfied
Oic. Wah she's so good. Come to sch for dinner. Haha.,satisfied
" Anyway, i forward your sms to her le lah",neutral
"Hopefully, can do that",satisfied
Haha. So efficient!,satisfied
 No prob lah,satisfied
I thinkthey're inside my desktop which hardisk crashed also,unsatisfied
 U  need my new password?,neutral
can we meet,neutral
welcome,satisfied
Done,satisfied
so innovative,satisfied
I will help you,satisfied
you wan come,neutral
wonderful creation!,very satisfied
I will encourage you all to come and bring along your friends,satisfied
"this is very simple, It's not as hard as it looks",very satisfied
"thank ,sry for the inconvenience just now",unsatisfied
inconvienience,unsatisfied
have a great week ahead,very satisfied
I'm super anxious,very unsatisfied
I am super inconvience,very unsatisfied
we are all excited,very satisfied
That's cool that's cool,satisfied
nia sing,very unsatisfied
Dan lain lain,neutral
tomorrow is holiday,satisfied
is the most handsome in my heart,very satisfied
hahahaha,satisfied
shy ma,unsatisfied
playing very well,very satisfied
winning,very satisfied
Goh too nervous,unsatisfied
make mistakes,unsatisfied
song been touched my friend heart,satisfied
very appreciated,very satisfied
but remain pm is better,satisfied
our beloved,very satisfied
you are the weakest,very unsatisfied
tq,satisfied
Oh... Better,satisfied
final winner is me,very satisfied
my internship failed already,unsatisfied
k thanks a lot,satisfied
Great to hear that you are doing quite well,very satisfied
quite well,satisfied
Keep it up your great work,very satisfied
Glad to hear that,satisfied
u guy can double check of it,neutral
feeling bless,satisfied
But I learn sparring then I forgot every bad thing already,satisfied
Today I car exam one pass one fail,neutral
not laugh,unsatisfied
Ya today i also feel normal xD,neutral
Sry yesterday I overslep,unsatisfied
But I write Malaysia youth lack interest in sport,unsatisfied
lack of money,unsatisfied
I so stress the ppl sit beside me still keep on ask me for answer,unsatisfied
dun become weary in doing good,satisfied
gift of friendship,satisfied
very hate him,very unsatisfied
super hate him,very unsatisfied
hope u fail,neutral
o0o,very unsatisfied
I believe you will do the best,very satisfied
I didn't go,unsatisfied
Not sure yet,neutral
Need your help,neutral
"oh,oic",neutral
hope to see you next week,satisfied
Great inspiration,very satisfied
